Date,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DWDP,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,WBA,ADBE,AMD,AMZN,APD,AZO,BAX,BBY,BDX,BRK-A,BSX,CNI,COP,COST,DLTR,ECL,FDX,JWN,KSS,LMT,LOW,M,MDT,MS,NSC,NVDA,ORLY,ROST,T,TJX,TXN,UNP,UPS,WFC,K
2000-02-01,29.7679822596,38.1845883094,3.1618743178,43.75,13.0161912227,21.4684972144,46.8626883666,17.5512120924,35.514,,25.3492494529,74.8284589917,62.0,77.2368419611,33.2465228747,26.2965245628,31.0518545388,22.5469854548,37.3623760767,33.6790263301,5.835938,19.436439308,29.9958087385,17.9047547067,18.3138996457,5.9163413581,22.5668619384,,41.5842493028,21.903304076,13.96875,18.28125,3.371875,28.33025,26.3125,17.144215,22.083332,26.463415,51900.0,10.1875,4.25,15.508377,51.875,10.069444,17.53125,38.9375,11.03125,36.5625,18.6875,11.765625,21.0625,46.375,64.0,16.75,0.790365,6.6875,1.585938,32.005287,2.078125,56.5625,10.078125,61.375,20.21875,24.5625
2000-02-02,29.2525056731,37.1000556237,3.1164568713,44.625,13.0915338438,21.3239803441,45.3112071728,17.0228339544,36.747124,,25.538172817,74.7300544429,60.75,79.6943778417,32.807170402800004,26.4329527058,30.5439018139,21.8514328049,37.3964258921,32.9821511981,5.929688,18.9111301375,29.7335338279,17.0312030441,18.3343659146,6.0728353249,22.47213871,,41.364601709,22.0021388392,15.328125,18.03125,3.471875,28.098982,25.8125,17.212112,22.111111,25.670732,50900.0,10.5,4.15625,15.293976,53.9375,10.277778,17.03125,38.5625,11.0625,36.875,18.6875,11.8125,21.40625,45.0,65.125,16.3125,0.8125,6.375,1.570313,32.099697,2.1875,59.6875,9.6875,58.25,19.5,23.9375
2000-02-03,28.9963485964,36.8063280213,3.2583863918,43.4375,12.7509851964,21.0168819947,46.8626883666,16.6816526424,37.363689,,25.1024302192,70.014836479,60.5,82.23617209529999,34.1744090654,25.8314286208,30.8442242279,21.5436661457,37.089977553,33.901502898000004,5.984375,18.7167657444,29.4863321881,16.2676089334,18.0580712841,6.018497142,22.1425018751,,41.364601709,21.9565227946,17.265625,19.5,4.209375,28.445883,26.5625,17.246061,23.138889,25.365854,51255.0,9.96875,4.052083,15.008107,54.1875,10.513889,17.375,39.5,11.25,38.75,18.625,11.78125,20.65625,45.75,66.0,16.0625,0.825521,6.78125,1.9375,31.722054,2.273438,67.0,9.828125,57.625,19.4375,24.0
2000-02-04,28.1646287054,36.467411557,3.406308492,44.0,12.7509851964,20.273652376,48.1754801459,16.983583007,37.610313,,24.645357564,69.4490103234,61.125,81.18294243220001,34.371190691500004,25.4655531464,30.310317714,21.6175301439,36.5111306902,34.863386883000004,5.835938,18.7798028448,28.5638480198,16.3409139681,17.5259482919,6.1673837632,22.1879690247,,39.8979226145,22.1922056917,18.5,19.28125,3.928125,28.561518,26.625,17.246061,25.277779,25.365854,51050.0,9.75,4.010417,14.865173,53.0,10.277778,17.5625,39.1875,11.5,40.0625,19.125,12.09375,19.96875,48.0625,65.6875,15.75,0.845052,6.625,1.875,31.722054,2.289063,66.0,10.078125,56.375,19.28125,23.375
2000-02-07,27.7124007799,36.6933558665,3.5974402463,41.8125,12.4315324829,20.4026852959,49.8065244779,17.1737991367,37.487,,24.6057446006,70.3182505045,59.0,80.1297127691,35.3878957596,25.251609013000003,30.473455815500003,21.5067341466,36.6035516179,34.8830171684,5.65625,19.436439308,28.1116498981,16.2676089334,17.4611384403,6.3238777301,22.638851592,,39.5011398643,22.0021388392,19.265625,20.65625,3.75,28.5037,25.375,17.127241,24.444445,25.365854,51500.0,9.5625,4.010417,15.246331,51.25,10.097222,17.46875,39.1875,11.3125,39.96875,18.75,11.734375,18.65625,49.25,65.125,16.25,0.792969,6.5,1.875,31.627644,2.148438,67.25,9.921875,55.75,19.09375,22.8125
2000-02-08,27.7313753781,36.8289224522,3.62298756,41.0,12.3561898618,20.2091359161,50.0452138923,17.2673975497,37.055405,,24.0542102634,73.3441903805,61.0,83.5070692221,35.6830681988,25.4438486691,31.5375611591,22.3500147929,36.6959725456,35.9692262942,4.625,19.861939736,28.8653134343,16.0721288411,17.396328588699998,6.0858764888,22.3546819067,,42.1581672094,22.9068570569,20.9375,20.6875,4.15625,27.925531,25.1875,17.093292,25.444445,25.060976,50450.0,9.625,4.135417,14.865173,53.0625,10.319444,17.09375,39.6875,11.875,40.375,18.375,12.109375,19.4375,49.625,67.8125,15.375,0.830729,6.625,1.914063,31.76926,2.195313,69.4375,9.6875,59.375,19.46875,23.4375
2000-02-09,27.7124007799,35.3828788713,3.5520227997000005,39.0,11.7926270559,19.3549379863,51.2386609645,17.2100307804,37.178719,,23.3686012807,71.1382884113,58.75,82.4949475179,34.3055968161,24.8051169087,30.7292860201,22.0853354659,34.721083249,34.0258280389,4.21875,18.9794203296,28.337748959,15.5406673401,17.270119930299998,5.8620031751,21.9037993395,,40.9607335525,22.762406249,21.890625,21.03125,4.0125,26.48011,24.0,17.076317,24.361111,25.243902,48500.0,10.53125,3.96875,14.531659,52.875,9.861111,16.53125,39.0625,11.4375,39.28125,18.375,11.59375,18.96875,48.875,67.1875,15.3125,0.851563,6.03125,1.890625,32.194111,2.132813,70.4375,9.734375,58.0,18.9375,22.8125
2000-02-10,27.1969241934,34.908395821300005,3.5797779060000003,39.75,11.4701606376,19.8220371563,54.0631523686,17.1164323674,36.438843,,23.2552061008,71.0398838625,59.5625,83.7249565334,35.2895049466,24.1849889859,30.8219781232,21.8514328049,33.563389523400005,34.680170885900004,4.21875,18.385820967,27.565997498,14.966444568900002,17.099567689300002,6.2901880567,21.6196296542,,40.386815646,23.2869907618,22.8125,21.25,3.809375,25.959759,24.0625,16.448261,24.194445,24.512196,47600.0,9.96875,4.166667,14.484015,52.125,9.333333,16.5625,38.6875,11.46875,39.8125,18.3125,11.515625,18.84375,48.0,66.8125,15.0,1.026042,6.53125,1.859375,31.816465,2.15625,72.5,9.265625,57.0625,18.375,21.875
2000-02-11,26.2292196814,34.6824515118,3.4299634121,39.875,10.8493374396,19.0968721465,52.074073915,16.7752510554,37.363689,,22.6422591819,69.8098270023,60.0625,81.0892229287,34.731957006,24.0981710768,30.6328862328,21.5067341466,31.7392922667,32.6975120597,4.25,18.385820967,28.2623826054,14.8931395343,16.5026348456,6.0858764888,21.2180031657,,39.7207874581,22.526723352,22.609375,22.75,3.809375,24.919056,23.25,16.091799,23.861111,24.390244,45200.0,9.5,4.166667,14.269613,51.6875,9.083333,16.25,37.125,11.0,39.75,17.5,11.5,18.46875,46.0,66.75,14.625,1.041667,6.09375,1.835938,30.541918,2.09375,68.8125,9.1875,55.125,18.9375,21.0625
2000-02-14,26.2102450831,34.7954236665,3.6526350598,38.25,11.6419418137,19.0478396369,51.9149476387,16.3434906341,36.5005,,23.426831238,70.9332789346,60.3125,81.574197912,36.0438345133,24.1572962382,29.3129506847,20.854268829,32.133297274099995,32.5928172042,4.039063,18.385820967,27.698642280300003,14.8137257467,17.1609664961,6.181511690800001,20.9565670553,,41.7188720217,22.6635714857,22.40625,21.625,3.721875,26.537928,23.375,16.227594,23.555555,25.182926,43100.0,9.6875,4.145833,14.34108,50.75,8.986111,16.25,36.3125,10.5,38.9375,18.0625,11.703125,18.40625,46.375,66.0,15.125,1.208333,6.34375,1.835938,30.872356,2.085938,67.3125,9.5,54.375,18.90625,21.25
